epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
181,0.0455,0.0047,0.0382,0.0186,3.9926,0.0588,0.0573,31
182,0.0442,0.0042,0.0373,0.0179,3.9756,0.0941,0.0917,31
183,0.0434,0.0044,0.0369,0.0188,3.4145,0.1212,0.1253,31
184,0.0437,0.0044,0.0370,0.0181,3.5807,0.1158,0.1050,31
185,0.0462,0.0040,0.0395,0.0198,3.8121,0.0790,0.0693,31
186,0.0474,0.0051,0.0390,0.0199,4.7849,0.0251,0.0324,32
187,0.0448,0.0045,0.0377,0.0192,3.9582,0.0620,0.0653,31
188,0.0442,0.0042,0.0380,0.0208,3.2900,0.1364,0.1289,31
189,0.0479,0.0050,0.0400,0.0190,4.4431,0.0585,0.0487,32
190,0.0459,0.0048,0.0379,0.0179,4.6014,0.0385,0.0321,32
191,0.0456,0.0048,0.0380,0.0194,4.2827,0.0484,0.0439,31
192,0.0445,0.0044,0.0376,0.0194,3.8345,0.0660,0.0709,32
193,0.0440,0.0039,0.0376,0.0190,3.6356,0.0924,0.0900,31
194,0.0434,0.0041,0.0367,0.0177,3.7535,0.0744,0.0681,31
195,0.0432,0.0040,0.0368,0.0171,3.6134,0.0946,0.0969,30
196,0.0423,0.0043,0.0359,0.0175,3.4474,0.1106,0.1108,32
197,0.0458,0.0047,0.0386,0.0192,3.9604,0.0475,0.0479,32
198,0.0469,0.0046,0.0393,0.0199,4.3831,0.0725,0.0661,31
199,0.0420,0.0046,0.0350,0.0171,3.7327,0.0798,0.0850,31
200,0.0426,0.0044,0.0359,0.0176,3.5936,0.1105,0.1118,31
201,0.0445,0.0041,0.0377,0.0196,3.9232,0.0960,0.0681,31
202,0.0417,0.0042,0.0354,0.0176,3.3398,0.0909,0.1026,31
203,0.0415,0.0042,0.0353,0.0174,3.3056,0.1066,0.0939,31
204,0.0456,0.0048,0.0383,0.0193,3.9524,0.0604,0.0628,31
205,0.0438,0.0044,0.0366,0.0185,4.1214,0.0502,0.0608,31
206,0.0458,0.0045,0.0386,0.0209,4.0981,0.0710,0.0476,32
207,0.0418,0.0041,0.0353,0.0173,3.6032,0.1031,0.1071,31
208,0.0406,0.0041,0.0344,0.0164,3.3962,0.1285,0.1157,31
209,0.0397,0.0042,0.0335,0.0157,3.2492,0.1102,0.1076,31
210,0.0430,0.0045,0.0365,0.0177,3.3600,0.0961,0.0882,31
211,0.0432,0.0042,0.0364,0.0180,3.8164,0.0676,0.0571,32
212,0.0432,0.0041,0.0366,0.0181,3.7065,0.0837,0.1020,32
213,0.0425,0.0041,0.0360,0.0183,3.5529,0.0690,0.0633,32
214,0.0417,0.0052,0.0344,0.0168,3.6356,0.0752,0.0669,31
